# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19856
#@/user_id	240c8f47-1b3e-481f-bf46-4ce45a0f2d10
a 	啊	c=2 d=0.0773569 t=19856
a 	錒	c=1 d=0.00029902 t=19856
a ka 	阿卡	c=0 d=4.08747e-06 t=19856
a li 	阿里	c=5 d=0.995012 t=19856
a li ba ba 	阿里巴巴	c=1 d=6.44804e-15 t=19856
a li lang 	阿里郎	c=2 d=0.114178 t=19856
a re a 	啊熱啊	c=1 d=0.000303539 t=19856
a yo 	啊喲	c=0 d=2.9038e-13 t=19856
ai 	唉	c=1 d=3.33154e-11 t=19856
ai 	愛	c=0 d=1.034e-12 t=19856
ai le 	愛了	c=0 d=7.4773e-23 t=19856
an 	安	c=1 d=6.25215e-05 t=19856
an 	按	c=46 d=0.64678 t=19856
an 	案	c=12 d=2.73611e-08 t=19856
an bi li 	按比例	c=2 d=1.88679e-18 t=19856
an ji hua 	按計劃	c=2 d=9.61117e-05 t=19856
an li 	案例	c=3 d=7.83427e-07 t=19856
an li lu 	安立路	c=1 d=3.60154e-16 t=19856
an men 	暗門	c=1 d=6.22097e-05 t=19856
an pai 	安排	c=20 d=0.839591 t=19856
an pai chong ding 	安排衝頂	c=1 d=1.50395e-07 t=19856
an pai le 	安排了	c=3 d=0.00169512 t=19856
an pai xia 	安排下	c=1 d=1.36222e-19 t=19856
an quan 	安全	c=22 d=0.708652 t=19856
an quan rong liang 	安全容量	c=2 d=0.00603066 t=19856
an quan shui wei 	安全水位	c=13 d=0.211918 t=19856
an shi 	暗示	c=1 d=3.68005e-05 t=19856
an shi ji 	按實際	c=1 d=2.07862e-20 t=19856
an shui 	安睡	c=1 d=1.86952e-08 t=19856
an xian 	安縣	c=1 d=2.74131e-11 t=19856
an xian zai 	俺現在	c=1 d=0.268474 t=19856
an xin 	安心	c=1 d=2.7005e-11 t=19856
an zhao 	按照	c=13 d=0.00074705 t=19856
an zhe ge 	按這個	c=2 d=9.21517e-10 t=19856
an zhuang 	安裝	c=18 d=0.177386 t=19856
an zhuang fang shi 	安裝方式	c=1 d=3.40058e-17 t=19856
an zhuo 	安卓	c=7 d=2.51486e-11 t=19856
ao 	奧	c=1 d=1.23771e-09 t=19856
ao shu 	奧數	c=0 d=1.34194e-20 t=19856
ba 	吧	c=111 d=0.90287 t=19856
ba 	把	c=34 d=0.163096 t=19856
ba 	爸	c=2 d=0.000666513 t=19856
ba ma 	爸媽	c=1 d=0.000280202 t=19856
ba ni 	把你	c=1 d=4.84489e-05 t=19856
ba po di 	把破的	c=1 d=1.12359e-18 t=19856
ba shu ju jie gou 	把數據結構	c=1 d=2.90934e-05 t=19856
ba zhe ge 	把這個	c=1 d=3.6902e-08 t=19856
ba zhen tu 	八陣圖	c=1 d=0.00210172 t=19856
bai 	白	c=1 d=2.24363e-07 t=19856
bai chi 	白癡	c=1 d=8.64112e-18 t=19856
bai du 	百度	c=8 d=2.77471e-11 t=19856
bai ping 	白屏	c=1 d=2.26709e-08 t=19856
bai ping hua 	白屏化	c=1 d=2.27754e-07 t=19856
bai tian 	白天	c=2 d=4.68065e-11 t=19856
ban 	半	c=6 d=0.000171659 t=19856
ban 	版	c=3 d=0.0177284 t=19856
ban 	般	c=2 d=6.20808e-10 t=19856
ban 	辦	c=0 d=0.000155699 t=19856
ban ben 	版本	c=18 d=0.0204948 t=19856
ban ben hao 	版本號	c=1 d=0.000441647 t=19856
ban ge yue 	半個月	c=1 d=3.56328e-08 t=19856
ban geng 	半更	c=1 d=2.31314e-13 t=19856
ban hun li 	辦婚禮	c=1 d=0.0015648 t=19856
ban jing zhuang 	半精裝	c=1 d=2.8248e-11 t=19856
ban le 	搬了	c=1 d=0.000376347 t=19856
ban le 	辦了	c=1 d=6.16012e-07 t=19856
ban tian 	半天	c=0 d=4.99244e-06 t=19856
ban tian jia 	半天假	c=1 d=5.60089e-05 t=19856
bang 	幫	c=53 d=0.473357 t=19856
bang fu 	幫扶	c=0 d=5.50326e-05 t=19856
bang fu ne xi 	幫扶呢系	c=1 d=0.000553084 t=19856
bang kan xia 	幫看下	c=1 d=8.46281e-08 t=19856
bang le 	幫了	c=1 d=0.000372602 t=19856
bang mang 	幫忙	c=0 d=1.01826e-08 t=19856
bang mang kan xia 	幫忙看下	c=1 d=1.02336e-07 t=19856
bang ni 	幫你	c=2 d=1.02231e-06 t=19856
bang shen pi 	幫審批	c=3 d=4.97443e-14 t=19856
