a	art.一;字母A
a.m.	n.上午
a/c	n.往来帐户|往来:come-and-go;contact;intercourse|n.往来帐户
aardvark	n.土猪
aardwolf	n.土狼
aasvogel	n.秃鹰之一种
abaci	n.算盘
aback	ad.向后地;朝后地
abacus	n.算盘
abaft	ad.向船尾|prep.在...后
abalone	n.鲍鱼
abandon	vt.放弃;沉溺|n.放任
abandoned	a.被抛弃的;自弃的;自甘堕落的
abandonee	n.被遗弃者;被委付者
abandoner	n.遗弃者;委付者
abandonment	n.放弃;自暴自弃;放纵
abas	vt.打倒
abase	vt.降低...的地位;降低...的品格;贬抑
abasement	n.贬抑;屈辱;谦卑
abash	vt.使...羞愧;使困窘
abashment	n.羞愧;
abate	vt.缓和;减弱;减少;废除|vi.缓和;减弱;减少
abatement	n.减少;减轻;缓和
abatis	n.鹿柴;拒木;铁丝网
abb	n.横丝;纬;羊毛
abbacy	n.大修道院院长之职位;管区;任期
abbatial	a.大修道院的;大修道院长的;女大修道院长的
abbe	n.大修道院院长;僧侣;神父
abbess	n.女修道院院长;女庵主持
abbey	n.修道院
abbot	n.修道院院长;方丈;住持
abbreviate	vt.缩写;使...简略;缩短
abbreviation	n.缩写
abbreviator	n.缩写者
abc	n.基础知识;美国广播公司;澳大利亚广播公司
abcoulomb	n.绝对库伦
abdicate	vt.放弃|vi.逊位
abdication	n.逊位;弃权;辞职
abdicator	n.放弃者;让位者
abdomen	n.腹部
abdominal	a.腹部的;腹式呼吸;开腹手术
abduct	vt.诱拐;绑走
abduction	n.诱拐
abductor	n.诱拐者
Abe	n.亚伯;Abraham的昵称
abeam	ad.与船的龙骨成直角
abecedarian	n.初学者|a.字母的;初步的
abed	ad.在床上
abelmosk	n.秋葵
aberrance	n.脱离正道;越轨;脱离常轨
aberrant	a.脱离正道的;脱离常轨的;变体的
aberration	n.越轨;光行差;心理失常;色差
abestrine	adj.石棉的
abet	vt.教唆;帮助
abeyance	n.中止;暂搁;停止
abfarad	n.绝对法拉
abhenry	n.绝对亨利
abhor	vt.憎恶;痛恨
abhorrence	n.痛恨
abhorrent	a.令人憎恨的;可恶的;厌恶的;相反的;不一致的
abidance	n.遵守;持续;居住
abide	vi.遵守;忍受;居留;坚持|vt.忍受
abide|by	by|v.遵守;坚持
abiding	a.永久的;持久的;不变的
abient	adj.回避的
Abigail	n.使女
ability	n.能力;才干
abject	a.不幸的;可怜的;悲惨的
abjection	n.卑鄙;落魄
abjuration	n.放弃;誓绝
abjure	vt.发誓放弃
ablactation	n.断奶
ablate	vt.vi.切除;腐蚀;蒸发
ablating	adj.烧蚀的
ablation	n.烧蚀
ablaut	n.元音变换
ablaze	a.着火的;闪亮的;激昂的|ad.着火;闪耀
able	a.能干的;能够的
able-bodied	a.强壮的;强健的
ablebodied	a.强壮的;强健的
abloom	ad.开花|a.开花的
ablush	a.脸红|ad.脸红
ablution	n.洗身;洗礼;斋戒沐浴
ably	ad.能干地;巧妙地
abnegate	vt.放弃;舍弃;戒禁
abnegation	n.拒绝;放弃
abnormal	a.不正常
